period,nominal_gdp,log_nominal_gdp,nominal_gdp_growth,bank_credit,log_bank_credit,log_bank_credit_growth,leverage_ratiotrc_to_ta,growth_in_leverage_ratio,total_assets,tier_i_capital,tier_ii_capital,total_regulatory_capital,capital_log_level,total_rwa,crar,crar_growth,mandatory_crar,capital_requirement,capital_surplus,capital_surplus_ratio,capital_surplus_ratio_growth,risk_weights,change_in_rw,net_npa,log_net_npa,net_npa_growth,net_npa_ratio,year
2002,24926137846820,30.84693808155976,,5897230000000,29.405503865069143,,0.06004803062431293,,15355120000000,632074854000,289969862000.0,922044716000.0,27.54985955824237,7673214264000,0.12016407782666864,,0.09,690589283760.0,231455432240.0,0.030164077826668648,,0.49971698456280383,,351709817000.0,26.586072289030817,,0.05963983378637089,2002
2003,27925301413900,30.960554254519383,0.1136161729596239,7292150000000,29.6178195430216,0.2123156779524571,0.06308248995430076,0.003034459329987825,16967460000000,713932815000,356416810000.0,1070349625000.0,27.699006463366892,8443152043000,0.1267713313166496,0.054985263561974286,0.09,759883683870.0,310465941130.0,0.036771331316649614,0.21904377544535325,0.49760848370940614,-0.002108500853397699,332518246000.0,26.5299605707247,-0.05611171830611639,0.045599479714487495,2003
2004,31863319237460,31.092476596950615,0.13192234243123124,8407850000000,29.760186909191823,0.14236736617022316,0.06341024533194785,0.00032775537764709317,19747530000000,785222219000,466973503000.0,1252195722000.0,27.855919703864625,9697742854000,0.12912238866836012,0.018545654820316095,0.09,872796856860.0,379398865140.0,0.039122388668360125,0.06393723772100635,0.4910863715107662,-0.006522112198639962,245490390000.0,26.226523638811965,-0.303436931912735,0.02919776042626831,2004
2005,36321246607130,31.22342399195616,0.13094739500554553,11004280000000,30.02930540395977,0.26911849476794814,0.07042750135957876,0.007017256027630911,23555090000000,1089152602000,569773531000.0,1658926133000.0,28.137191601130517,12960690295000,0.12799674209019435,-0.008717671581005991,0.09,1166462126550.0,492464006450.0,0.03799674209019435,-0.028772439937342822,0.5502288590279214,0.05914248751715523,212099112000.0,26.0803195118039,-0.1462041270080654,0.019274238023750757,2005
2006,42546289837870,31.38161377179649,0.1581897798403311,15070770000000,30.343778222152164,0.31447281819239237,0.07944520649436099,0.009017705134782228,27858630000000,1665709480000,547525133000.0,2213234613000.0,28.425476187193816,17969921067000,0.12316329074279511,-0.03776229979348451,0.09,1617292896030.0,595941716970.0,0.033163290742795115,-0.12720699411349226,0.6450396543907579,0.09481079536283654,197584480000.0,26.009432076665433,-0.07088743513846651,0.01311044359379116,2006
2007,48986620590550,31.522568327582015,0.14095455578552318,19311890000000,30.591742084327155,0.24796386217499133,0.0855010999828611,0.006055893488500108,34599630000000,2000399795000,957906629000.0,2958306424000.0,28.71563806646787,24110714058000,0.12269675700535405,-0.0037879284860562186,0.09,2169964265220.0,788342158780.0,0.03269675700535406,-0.014067775754202393,0.6968488986153898,0.051809244224631845,207127238000.0,26.056599117704167,0.04716704103873326,0.010725373746432896,2007
2008,55141523846620,31.640924157098446,0.11835582951643175,23619140000000,30.793078516212727,0.20133643188557215,0.09391208092800878,0.00841098094514768,43261660000000,2827818968000,1234973547000.0,4062792515000.0,29.03289166468457,31289255432000,0.12984625101832625,0.05826962494746475,0.09,2816032988880.0,1246759526120.0,0.039846251018326256,0.21866064612467462,0.7232560061726712,0.026407107557281373,248106519000.0,26.23712400299425,0.18052488529008315,0.010504468790989003,2008
2009,63664065417160,31.784641397150292,0.1437172400518456,27755490000000,30.954454774391504,0.16137625817877677,0.0930268350270929,-0.0008852459009158764,52386420000000,3332812367000,1540530484000.0,4873342851000.0,29.21480123458974,34889368216000,0.13967988244525226,0.0757328867780565,0.09,3140043139440.0,1733299711560.0,0.04967988244525226,0.24678937605455725,0.6660002385351013,-0.0572557676375699,321147738000.0,26.49516709718776,0.25804309419351057,0.011570602356506766,2009
2010,76344721043680,31.966280003666196,0.1816386065159037,32447880000000,31.110656225665576,0.1562014512740717,0.09414110404559539,0.0011142690185024923,60269250000000,3950998952000,1722814783000.0,5673813735000.0,29.366882623965296,39013952312000,0.1454303755135015,0.04116908582381682,0.09,3511255708080.0,2162558026920.0,0.055430375513501495,0.11575093951935851,0.6473276556784762,-0.018672582856625097,374076226000.0,26.647725426428153,0.15255832924039225,0.011528525931432191,2010
2011,87363287113730,32.101096254434864,0.13481625076866877,39420830000000,31.30531547273334,0.19465924706776505,0.09331391107662418,-0.0008271929689712132,71833980000000,4745029337000,1958080285000.0,6703109622000.0,29.533592657340417,47248663350000,0.14186876721455444,-0.024490126539048935,0.09,4252379701500.0,2450729920500.0,0.05186876721455444,-0.0642537285008927,0.6577480928941986,0.010420437215722389,400653346000.0,26.716362416564547,0.0686369901363939,0.010163493411985492,2011
