variable,definition,source,unit,notes
year,,RBI database on Indian Economy,,
period_label,,RBI database on Indian Economy,,
nominal_gdp,,RBI database on Indian Economy,,
log_nominal_gdp,,RBI database on Indian Economy,,
nominal_gdp_growth,,RBI database on Indian Economy,,
bank_credit,,RBI database on Indian Economy,,
log_bank_credit,,RBI database on Indian Economy,,
log_bank_credit_growth,,RBI database on Indian Economy,,
leverage_ratiotrc_to_ta,,RBI database on Indian Economy,,
growth_in_leverage_ratio,,RBI database on Indian Economy,,
total_assets,,RBI database on Indian Economy,,
tier_i_capital,,RBI database on Indian Economy,,
tier_ii_capital,,RBI database on Indian Economy,,
total_regulatory_capital,,RBI database on Indian Economy,,
capital_log_level,,RBI database on Indian Economy,,
total_rwa,,RBI database on Indian Economy,,
crar,,RBI database on Indian Economy,,
crar_growth,,RBI database on Indian Economy,,
mandatory_crar,,RBI database on Indian Economy,,
capital_requirement,,RBI database on Indian Economy,,
capital_surplus,,RBI database on Indian Economy,,
capital_surplus_ratio,,RBI database on Indian Economy,,
capital_surplus_ratio_growth,,RBI database on Indian Economy,,
risk_weights,,RBI database on Indian Economy,,
change_in_rw,,RBI database on Indian Economy,,
net_npa,,RBI database on Indian Economy,,
log_net_npa,,RBI database on Indian Economy,,
net_npa_growth,,RBI database on Indian Economy,,
net_npa_ratio,,RBI database on Indian Economy,,
leverage_level,,RBI database on Indian Economy,,
leverage_growth,,RBI database on Indian Economy,,
total_assets_lev,,RBI database on Indian Economy,,
total_assets_growth,,RBI database on Indian Economy,,
repos_level,,RBI database on Indian Economy,,
repos_growth,,RBI database on Indian Economy,,
deposits_level,,RBI database on Indian Economy,,
deposits_growth,,RBI database on Indian Economy,,
loan_to_nominal_gdp,,RBI database on Indian Economy,,
credit_to_deposit_ratio,,RBI database on Indian Economy,,
