year,period_label,nominal_gdp,log_nominal_gdp,nominal_gdp_growth,bank_credit,log_bank_credit,log_bank_credit_growth,leverage_ratiotrc_to_ta,growth_in_leverage_ratio,total_assets,tier_i_capital,tier_ii_capital,total_regulatory_capital,capital_log_level,total_rwa,crar,crar_growth,mandatory_crar,capital_requirement,capital_surplus,capital_surplus_ratio,capital_surplus_ratio_growth,risk_weights,change_in_rw,net_npa,log_net_npa,net_npa_growth,net_npa_ratio,leverage_level,leverage_growth,total_assets_lev,total_assets_growth,repos_level,repos_growth,deposits_level,deposits_growth,loan_to_nominal_gdp,credit_to_deposit_ratio
2002,2002,24926137846820,30.84693808155976,,5897230000000,29.405503865069143,,0.0600480306243129,,15355120000000,632074854000,289969862000.0,922044716000.0,27.54985955824237,7673214264000,0.1201640778266686,,0.09,690589283760.0,231455432240.0,0.0301640778266686,,0.4997169845628038,,351709817000.0,26.586072289030817,,0.0596398337863708,2.9063501250966794,-0.0441754104426976,30.36247008483476,0.1703724859663111,28.542737400956312,0.369397808172792,30.1182,0.1308,0.2547132248869525,0.534
2003,2003,27925301413900,30.960554254519383,0.1136161729596239,7292150000000,29.6178195430216,0.2123156779524571,0.0630824899543007,0.0030344593299878,16967460000000,713932815000,356416810000.0,1070349625000.0,27.69900646336689,8443152043000,0.1267713313166496,0.0549852635619742,0.09,759883683870.0,310465941130.0,0.0367713313166496,0.2190437754453532,0.4976084837094061,-0.0021085008533976,332518246000.0,26.5299605707247,-0.0561117183061163,0.0455994797144874,2.858350037422941,-0.0480000876737385,30.462318508073484,0.0998484232387255,28.522166332667457,-0.0205710682888558,30.2379,0.1197,0.2925503359089507,0.569
2004,2004,31863319237460,31.09247659695061,0.1319223424312312,8407850000000,29.760186909191823,0.1423673661702231,0.0634102453319478,0.000327755377647,19747530000000,785222219000,466973503000.0,1252195722000.0,27.855919703864625,9697742854000,0.1291223886683601,0.018545654820316,0.09,872796856860.0,379398865140.0,0.0391223886683601,0.0639372377210063,0.4910863715107662,-0.0065221121986399,245490390000.0,26.226523638811965,-0.303436931912735,0.0291977604262683,2.8353328153622,-0.0230172220607407,30.614049536163478,0.1517310280899906,28.67238204526094,0.1502157125934822,30.3882,0.1503,0.3010835899452436,0.5589999999999999
2005,2005,36321246607130,31.22342399195616,0.1309473950055455,11004280000000,30.02930540395977,0.2691184947679481,0.0704275013595787,0.0070172560276309,23555090000000,1089152602000,569773531000.0,1658926133000.0,28.13719160113052,12960690295000,0.1279967420901943,-0.0087176715810059,0.09,1166462126550.0,492464006450.0,0.0379967420901943,-0.0287724399373428,0.5502288590279214,0.0591424875171552,212099112000.0,26.0803195118039,-0.1462041270080654,0.0192742380237507,2.756486894819009,-0.0788459205431912,30.790363048918085,0.1763135127546107,28.934860069487225,0.2624780242262829,30.542,0.1538,0.3453588723130532,0.647
2006,2006,42546289837870,31.38161377179649,0.1581897798403311,15070770000000,30.343778222152164,0.3144728181923923,0.0794452064943609,0.0090177051347822,27858630000000,1665709480000,547525133000.0,2213234613000.0,28.425476187193816,17969921067000,0.1231632907427951,-0.0377622997934845,0.09,1617292896030.0,595941716970.0,0.0331632907427951,-0.1272069941134922,0.6450396543907579,0.0948107953628365,197584480000.0,26.009432076665437,-0.0708874351384665,0.0131104435937911,2.7218437027121603,-0.0346431921068486,30.95816390862746,0.1678008597093736,29.10807212341932,0.1732120539320973,30.7059,0.1638,0.4149298663400377,0.715
2007,2007,48986620590550,31.52256832758201,0.1409545557855231,19311890000000,30.591742084327155,0.2479638621749913,0.0855010999828611,0.0060558934885001,34599630000000,2000399795000,957906629000.0,2958306424000.0,28.71563806646787,24110714058000,0.122696757005354,-0.0037879284860562,0.09,2169964265220.0,788342158780.0,0.032696757005354,-0.0140677757542023,0.6968488986153898,0.0518092442246318,207127238000.0,26.056599117704167,0.0471670410387332,0.0107253737464328,2.759124426788216,0.037280724076055,31.17486410429343,0.2167001956659717,29.3245188872382,0.2164467638188831,30.9257,0.2198,0.4539030329928014,0.7390000000000001
2008,2008,55141523846620,31.640924157098446,0.1183558295164317,23619140000000,30.793078516212727,0.2013364318855721,0.0939120809280087,0.0084109809451476,43261660000000,2827818968000,1234973547000.0,4062792515000.0,29.03289166468457,31289255432000,0.1298462510183262,0.0582696249474647,0.09,2816032988880.0,1246759526120.0,0.0398462510183262,0.2186606461246746,0.7232560061726712,0.0264071075572813,248106519000.0,26.23712400299425,0.1805248852900831,0.010504468790989,2.618316332014768,-0.1408080947734475,31.398287908347857,0.2234238040544269,29.563434882887453,0.2389159956492506,31.1336,0.2079,0.4821549173072854,0.7390000000000001
2009,2009,63664065417160,31.78464139715029,0.1437172400518456,27755490000000,30.954454774391504,0.1613762581787767,0.0930268350270929,-0.0008852459009158,52386420000000,3332812367000,1540530484000.0,4873342851000.0,29.21480123458974,34889368216000,0.1396798824452522,0.0757328867780565,0.09,3140043139440.0,1733299711560.0,0.0496798824452522,0.2467893760545572,0.6660002385351013,-0.0572557676375699,321147738000.0,26.49516709718776,0.2580430941935105,0.0115706023565067,2.6558786773642358,0.0375623453494675,31.58966851336237,0.1913806050145083,29.719786554669103,0.1563516717816533,31.3356,0.202,0.5033500720292721,0.7240000000000001
2010,2010,76344721043680,31.9662800036662,0.1816386065159037,32447880000000,31.110656225665576,0.1562014512740717,0.0941411040455953,0.0011142690185024,60269250000000,3950998952000,1722814783000.0,5673813735000.0,29.366882623965296,39013952312000,0.1454303755135015,0.0411690858238168,0.09,3511255708080.0,2162558026920.0,0.0554303755135014,0.1157509395193585,0.6473276556784762,-0.018672582856625,374076226000.0,26.647725426428156,0.1525583292403922,0.0115285259314321,2.639834976902204,-0.0160437004620312,31.729843139344084,0.140174625981718,29.770904909855325,0.0511183551862188,31.4911,0.1555,0.5096733893348571,0.722
2011,2011,87363287113730,32.101096254434864,0.1348162507686687,39420830000000,31.30531547273334,0.194659247067765,0.0933139110766241,-0.0008271929689712,71833980000000,4745029337000,1958080285000.0,6703109622000.0,29.533592657340417,47248663350000,0.1418687672145544,-0.0244901265390489,0.09,4252379701500.0,2450729920500.0,0.0518687672145544,-0.0642537285008927,0.6577480928941986,0.0104204372157223,400653346000.0,26.716362416564547,0.0686369901363939,0.0101634934119854,2.645273958474423,0.0054389815722188,31.905378739083908,0.175535599739824,29.989612181178988,0.2187072713236624,31.6592,0.1681,0.5163530557331619,0.757
