,nominal_gdp,log_nominal_gdp,nominal_gdp_growth,bank_credit,log_bank_credit,log_bank_credit_growth,crar,capital_surplus_ratio,net_npa_ratio,change_in_rw,leverage_ratiotrc_to_ta
nominal_gdp,1.0,0.9464837685178858,-0.3533634254980166,0.9962032955969049,0.9068730953419384,-0.5822258624172868,0.8720441110534474,0.3958071163768139,-0.09810867360535915,-0.28503642333562473,0.5616377064768348
log_nominal_gdp,0.9464837685178858,1.0,-0.3783415818579095,0.9530012150613553,0.9924449911586423,-0.7016370819366583,0.7973006487157086,0.3936208573945888,-0.10925442182069439,-0.38033424139833777,0.7138946079552609
nominal_gdp_growth,-0.3533634254980166,-0.3783415818579095,1.0,-0.40670597451965335,-0.38279782637946885,0.37930081712726943,-0.0694782526338734,0.304866981436466,-0.3368575721334642,0.18547158398759836,0.04446679558351658
bank_credit,0.9962032955969049,0.9530012150613553,-0.40670597451965335,1.0,0.9191964763146622,-0.5887304672908245,0.8558368555243748,0.38426343996401047,-0.10311765341433607,-0.2882751289012824,0.5750741042384894
log_bank_credit,0.9068730953419384,0.9924449911586423,-0.38279782637946885,0.9191964763146622,1.0,-0.6928802134150048,0.7613068824970584,0.4026234622969504,-0.16097804301379837,-0.3801562708986594,0.7763207069392154
log_bank_credit_growth,-0.5822258624172868,-0.7016370819366583,0.37930081712726943,-0.5887304672908245,-0.6928802134150048,1.0,-0.456400619998722,-0.13117505685928785,-0.4375732862878765,0.7301238187942464,-0.31525845311522577
crar,0.8720441110534474,0.7973006487157086,-0.0694782526338734,0.8558368555243748,0.7613068824970584,-0.456400619998722,1.0,0.7348172459239173,-0.3839592912826918,-0.34154692669729686,0.6058443415888541
capital_surplus_ratio,0.3958071163768139,0.3936208573945888,0.304866981436466,0.38426343996401047,0.4026234622969504,-0.13117505685928785,0.7348172459239173,1.0,-0.6948071498624655,-0.2233415862822693,0.6075100277389518
net_npa_ratio,-0.09810867360535915,-0.10925442182069439,-0.3368575721334642,-0.10311765341433607,-0.16097804301379837,-0.4375732862878765,-0.3839592912826918,-0.6948071498624655,1.0,-0.3214533470275475,-0.5368608881299103
change_in_rw,-0.28503642333562473,-0.38033424139833777,0.18547158398759836,-0.2882751289012824,-0.3801562708986594,0.7301238187942464,-0.34154692669729686,-0.2233415862822693,-0.3214533470275475,1.0,-0.20695882377826136
leverage_ratiotrc_to_ta,0.5616377064768348,0.7138946079552609,0.04446679558351658,0.5750741042384894,0.7763207069392154,-0.31525845311522577,0.6058443415888541,0.6075100277389518,-0.5368608881299103,-0.20695882377826136,1.0
